month,building_price_id,building_id,room_count,min_area,max_area,price_per_meter,max_price_per_meter,currency,is_sold
2024-04-24,6607,3113,2,0,0,0,0,interbank,yes
2024-04-24,6606,3113,1,0,0,0,0,interbank,yes
2024-04-24,6605,3111,2,0,0,0,0,uah,yes
2024-04-24,6604,3111,1,0,0,0,0,uah,yes
2024-04-24,6591,3073,5,0,0,0,0,interbank,yes
2024-04-24,6590,3073,4,0,0,0,0,interbank,yes
2024-04-24,6589,3073,3,0,0,0,0,interbank,yes
2024-04-24,6445,2829,2,0,0,0,0,interbank,yes
2024-04-24,6444,2829,1,0,0,0,0,interbank,yes
2024-04-24,6415,3021,3,0,0,0,0,interbank,yes
2024-04-24,6414,3021,2,0,0,0,0,interbank,yes
2024-04-24,6390,2172,3,0,0,0,0,interbank,yes
2024-04-24,6389,2172,2,0,0,0,0,interbank,yes
2024-04-24,6388,2172,1,0,0,0,0,interbank,yes
2024-04-24,6338,990,1,0,0,0,0,uah,yes
2024-04-24,6337,990,2,0,0,0,0,uah,yes
2024-04-24,6336,990,2,0,0,0,0,uah,yes
2024-04-24,6335,990,1,0,0,0,0,uah,yes
2024-04-24,6334,323,4,0,0,0,0,interbank,yes
2024-04-24,6280,3074,2,0,0,0,0,interbank,yes
2024-04-24,6279,3074,1,0,0,0,0,interbank,yes
2024-04-24,6268,2795,3,0,0,0,0,uah,yes
2024-04-24,6267,2795,2,0,0,0,0,uah,yes
2024-04-24,6166,2297,2,0,0,0,0,uah,yes
2024-04-24,6165,2297,1,0,0,0,0,uah,yes
2024-04-24,6149,874,2,0,0,0,0,interbank,yes
2024-04-24,6148,874,1,0,0,0,0,interbank,yes
2024-04-24,6111,2473,1,30.5,32.7,433,500,interbank,no
2024-04-24,5894,1052,2,0,0,0,0,interbank,yes
2024-04-24,5893,1052,1,0,0,0,0,interbank,yes
2024-04-24,5723,25,4,0,0,0,0,uah,yes
2024-04-24,5722,25,3,0,0,0,0,uah,yes
2024-04-24,5665,186,3,112,119.9,24300,24300,uah,no
2024-04-24,5664,186,2,80,86,24300,24300,uah,no
2024-04-24,5518,2834,4,0,0,0,0,uah,yes
2024-04-24,5517,2834,3,0,0,0,0,uah,yes
2024-04-24,5515,2834,1,0,0,0,0,uah,yes
2024-04-24,5514,2834,3,0,0,0,0,uah,yes
2024-04-24,5513,2834,2,0,0,0,0,uah,yes
2024-04-24,5512,2834,1,0,0,0,0,uah,yes
2024-04-24,5499,2174,3,0,0,0,0,uah,yes
2024-04-24,5472,874,2,0,0,0,0,interbank,yes
2024-04-24,5471,874,1,0,0,0,0,interbank,yes
2024-04-24,5470,874,2,0,0,0,0,interbank,yes
2024-04-24,5455,857,2,53.8,102.4,44200,65000,uah,no
2024-04-24,5454,857,3,79.56,145.7,42075,60000,uah,no
2024-04-24,5390,807,1,0,0,0,0,uah,yes
2024-04-24,5389,807,2,0,0,0,0,uah,yes
2024-04-24,5388,807,2,0,0,0,0,uah,yes
2024-04-24,5386,807,2,0,0,0,0,uah,yes
2024-04-24,5384,2864,1,0,0,0,0,uah,yes
2024-04-24,5321,641,2,0,0,0,0,interbank,yes
2024-04-24,5320,641,1,0,0,0,0,interbank,yes
2024-04-24,5251,2881,3,0,0,0,0,interbank,yes
2024-04-24,5249,2880,2,0,0,0,0,interbank,yes
2024-04-24,5248,2880,1,0,0,0,0,interbank,yes
2024-04-24,5170,2869,2,0,0,0,0,uah,yes
2024-04-24,5169,2869,1,0,0,0,0,uah,yes
2024-04-24,5085,2623,3,0,0,0,0,interbank,yes
2024-04-24,5084,2623,2,0,0,0,0,interbank,yes
2024-04-24,5083,2623,1,0,0,0,0,interbank,yes
2024-04-24,5031,2865,1,0,0,0,0,interbank,yes
2024-04-24,5003,2185,2,0,0,0,0,uah,yes
2024-04-24,5002,2185,1,0,0,0,0,uah,yes
2024-04-24,5001,2185,1,0,0,0,0,uah,yes
2024-04-24,5000,2185,2,0,0,0,0,uah,yes
2024-04-24,4924,547,3,0,0,0,0,uah,yes
2024-04-24,4922,547,1,0,0,0,0,uah,yes
2024-04-24,4902,559,3,74,103,30500,31500,uah,no
2024-04-24,4901,559,2,59,69.9,32500,32500,uah,no
2024-04-24,4900,559,1,0,0,0,0,uah,yes
2024-04-24,4899,559,2,59,69.9,32500,32500,uah,no
2024-04-24,4898,559,2,59,69.9,32500,32500,uah,no
2024-04-24,4852,2858,2,0,0,0,0,uah,yes
2024-04-24,4850,2858,1,0,0,0,0,uah,yes
2024-04-24,4828,1116,3,0,0,0,0,uah,yes
2024-04-24,4827,1116,2,0,0,0,0,uah,yes
2024-04-24,4770,1113,5,0,0,0,0,uah,yes
2024-04-24,4769,1113,5,0,0,0,0,uah,yes
2024-04-24,4768,1113,3,0,0,0,0,uah,yes
2024-04-24,4767,1113,2,0,0,0,0,uah,yes
2024-04-24,4766,1113,1,0,0,0,0,uah,yes
2024-04-24,4764,1113,2,0,0,0,0,uah,yes
2024-04-24,4758,2264,4,0,0,0,0,uah,yes
2024-04-24,4757,2264,3,0,0,0,0,uah,yes
2024-04-24,4756,2264,2,0,0,0,0,uah,yes
2024-04-24,4710,2855,3,0,0,0,0,interbank,yes
2024-04-24,4709,2855,2,0,0,0,0,interbank,yes
2024-04-24,4649,562,1,0,0,0,0,interbank,yes
2024-04-24,4648,562,2,0,0,0,0,interbank,yes
2024-04-24,4647,562,3,0,0,0,0,interbank,yes
2024-04-24,4637,856,3,0,0,0,0,interbank,yes
2024-04-24,4636,856,2,0,0,0,0,interbank,yes
2024-04-24,4635,856,1,0,0,0,0,interbank,yes
2024-04-24,4628,771,3,146.1,146.1,1900,1900,interbank,no
2024-04-24,4613,1970,4,0,0,0,0,uah,yes
2024-04-24,4612,1970,3,0,0,0,0,uah,yes
2024-04-24,4611,1175,3,0,0,0,0,uah,yes
2024-04-24,4610,1175,2,0,0,0,0,uah,yes
2024-04-24,4486,1233,2,62,62,36000,36000,uah,no
2024-04-24,4365,1865,3,0,0,0,0,uah,yes
2024-04-24,4258,2351,2,0,0,0,0,interbank,yes
2024-04-24,4257,2351,1,0,0,0,0,interbank,yes
2024-04-24,4192,1884,2,0,0,0,0,interbank,yes
2024-04-24,4191,1884,1,0,0,0,0,interbank,yes
2024-04-24,4186,2479,3,0,0,0,0,interbank,yes
2024-04-24,4185,2479,2,0,0,0,0,interbank,yes
2024-04-24,4184,2479,1,0,0,0,0,interbank,yes
2024-04-24,4157,278,3,0,0,0,0,interbank,yes
2024-04-24,4156,278,2,0,0,0,0,interbank,yes
2024-04-24,4155,278,1,0,0,0,0,interbank,yes
2024-04-24,4113,1982,1,0,0,0,0,interbank,yes
2024-04-24,4072,2765,3,0,0,0,0,interbank,yes
2024-04-24,4071,2765,2,0,0,0,0,interbank,yes
